ID,Scanner,Layer,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
CTC_1010,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,33-66%,NA,12236.49,3452.59,25,36.70000076,44.79999924,Initial carinated
CTC_1011,Artec.Spider,gic,Fine-grained chert,Blank,Blade,Maintenance,0%,Complete,3567.25,2024,49.09999847,20.79999924,10,NA
CTC_1013,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,54.16,144.29,18.39999962,4,1.200000048,NA
CTC_1014,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Complete,6100.74,2859.44,63.70000076,23.5,10.19999981,NA
CTC_1015,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,NA,4320.74,1775.08,19.39999962,30.70000076,22.89999962,Initial carinated
CTC_1016,Artec.Spider,gic,Fine-grained chert,Blank,Blade,Optimal,0%,Complete,1439.8,1301.68,50.29999924,13.39999962,5.099999905,NA
CTC_1018,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,33-66%,NA,7055.39,2593.5,19.20000076,37.29999924,29.5,Multi-platform carinated
CTC_1019,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,1251.71,973.87,35,14.39999962,7.5,Bipolar
CTC_102,Artec.Spider,rsa',Coarse-grained chert,Tool,Blade,Optimal,0%,Distal,1201.58,977.01,24.70000076,18.79999924,5.800000191,NA
CTC_1020,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Distal,2033.6,1251.48,NA,21.70000076,7.599999905,NA
CTC_1022,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,41.09,121.56,13,5.900000095,1.5,NA
CTC_1023,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,NA,2208.69,1144.72,33.40000153,12.10000038,16.20000076,Burin core
CTC_1024,Artec.Spider,gic,Fine-grained chert,Core,Flake,Semi-cortical,1-33%,Distal,2091.12,1173.2,26.39999962,25.5,12.30000019,Semi-circumferential
CTC_1025,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,98.99,179.12,17.70000076,5,2.099999905,NA
CTC_1026,Artec.Spider,gic,Radiolarite,Core-Tool,Flake,Optimal,0%,NA,2348.56,1305.23,13.60000038,23.10000038,28.79999924,Carinated
CTC_103,Artec.Spider,rsa',Coarse-grained chert,Core-Tool,Undetermined,Other,0%,NA,7575.93,2496.92,22.20000076,34.09999847,26.10000038,Multi-platform carinated
CTC_1034,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,12.65,41.63,7.199999809,3.5,1.299999952,NA
CTC_1035,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,71.43,153.52,18.20000076,4.800000191,2,NA
CTC_104,Artec.Spider,rsa',Coarse-grained chert,Core,Other,Other,0%,NA,84400.86,13165.47,84.30000305,53.09999847,47.5,Tested raw material
CTC_105,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Optimal,0%,Complete,3618.94,1643.89,28.5,23.29999924,13.19999981,NA
CTC_1054,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,247.56,276.86,16.29999924,8.899999619,4.900000095,NA
CTC_1055,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,70.16,167.56,19.29999924,4.599999905,1.299999952,NA
CTC_1056,Artec.Micro,gic,Radiolarite,Tool,Bladelet,Optimal,0%,Complete,55.45,174.99,21.60000038,4.800000191,1,NA
CTC_1057,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,111.73,219.72,19.60000038,5.599999905,2.099999905,NA
CTC_1058,Artec.Micro,gic,Radiolarite,Tool,Bladelet,Optimal,0%,Complete,21.72,69.24,9.199999809,4.099999905,1,NA
CTC_1060,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,72.6,174.98,14.89999962,6.400000095,1.600000024,NA
CTC_1061,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,16.62,64.76,10.10000038,3.5,1,NA
CTC_1067,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,111.12,197.5,14.5,7.300000191,2.099999905,NA
CTC_1071,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,226.35,383.23,34.70000076,5.900000095,2.400000095,NA
CTC_1088,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,NA,5577.26,2133.8,15.10000038,31,31.5,Carinated
CTC_1089,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Optimal,0%,Complete,1737.91,1061.89,24.20000076,18.89999962,6.800000191,NA
CTC_1090,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,38.61,105.94,14,3.700000048,1.5,NA
CTC_1091,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,55.59,151.99,14.19999981,7.099999905,1.399999976,NA
CTC_1092,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,25.96,81.77,10.19999981,5.099999905,1.100000024,NA
CTC_1094,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,8.83,31.49,5.800000191,3,0.699999988,NA
CTC_1095,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,4.62,21.86,5,2.200000048,0.5,NA
CTC_1096,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,47.11,128.15,15,4.699999809,1.600000024,NA
CTC_11,Artec.Spider,rsa',Coarse-grained chert,Core,Other,Other,33-66%,NA,29203.44,5725.89,39,45.79999924,37,Semi-circumferential
CTC_1120,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,230.16,366.18,21.10000038,11.10000038,2.5,NA
