ID,Site,Stratigraphic_unit,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RF.b_5771,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,202.2144775,378.1182986,24.6,9.7,1.8,RF.b_5771.ply,1 unit = 1mm,35594,0.165363,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_5773,Fumane,A1,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,2047.895508,1576.434829,43,18.1,6.3,RF.b_5773.ply,1 unit = 1mm,400000,0.102368,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_5774,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,655.2803345,821.4193283,42,11.8,2.5,RF.b_5774.ply,1 unit = 1mm,76554,0.166412,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_5777,Fumane,A1,Scaglia.Variegata,Blank,Blade,Initialization,NA,1-33%,Complete,7412.408203,3508.804368,70,28,10.2,RF.b_5777.ply,1 unit = 1mm,916298,0.100921,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_5779,Fumane,A1,Scaglia.Variegata,Blank,Bladelet,Optimal,NA,0%,Complete,289.8380127,527.1514975,33.6,9.7,2,RF.b_5779.ply,1 unit = 1mm,46152,0.172278,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_5782,Fumane,A1,Maiolica,Blank,Bladelet,Maintenance,NA,0%,Complete,582.3300171,645.1501804,34,10.2,4.1,RF.b_5782.ply,1 unit = 1mm,55832,0.172047,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_5783,Fumane,A1,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,747.8914795,940.1390284,41.6,12.8,2.8,RF.b_5783.ply,1 unit = 1mm,87278,0.16657,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_5784,Fumane,A1,Undetermined,Blank,Blade,Optimal,NA,0%,Complete,4686.705566,3294.627531,74.5,27,5.6,RF.b_5784.ply,1 unit = 1mm,400000,0.146111,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_5785,Fumane,A1,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1929.302612,1719.597945,53.5,16.6,5,RF.b_5785.ply,1 unit = 1mm,400000,0.105838,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_5786,Fumane,A1,Scaglia.Rossa,Blank,Blade,Maintenance,NA,0%,Complete,680.0079956,837.4433548,34.6,15.4,3,RF.b_5786.ply,1 unit = 1mm,77984,0.166416,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
