ID,Scanner,Unit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
RF.b_5213,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,46.14324188,134.1711157,15.5,4.7,1,NA
RF.b_5215,Artec.Spider,A2,Maiolica,Blank,Blade,Initialization,66-99%,Complete,8231.924805,3435.258467,57.7,30.5,11.1,NA
RF.b_5216,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,519.7709961,811.1916947,37,12.5,2.3,NA
RF.b_5219,Artec.Spider,A2,Scaglia.Variegata,Blank,Blade,Optimal,0%,Complete,1427.489868,1747.761508,63.3,15.8,3.8,NA
RF.b_5221,Artec.Spider,A2,Scaglia.Rossa,Blank,Blade,Semi-cortical,1-33%,Complete,1865.582886,1673.626964,47.7,18.7,4.9,NA
RF.b_5222,Artec.Spider,A2,Maiolica,Blank,Flake,Maintenance,1-33%,Complete,2861.224365,2144.284159,60,26.8,4.6,NA
RF.b_5225,Micro-CT,A2,Maiolica,Blank,Bladelet,Maintenance,0%,Complete,683.0066528,740.8877534,38.2,10.9,4.6,NA
RF.b_5226,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,1288.183472,1259.312068,46.2,15.7,4.2,NA
RF.b_5228,Artec.Spider,A2,Scaglia.Variegata,Blank,Flake,Maintenance,1-33%,Complete,2093.47876,1629.96981,44.2,23.5,6.3,NA
RF.b_5229,Micro-CT,A2,Scaglia.Rossa,Blank,Blade,Optimal,0%,Complete,375.1860352,587.0013643,32,13,2,NA
RF.b_5231,Micro-CT,A2,Maiolica,Blank,Bladelet,Maintenance,0%,Complete,291.0777893,451.0322359,39,6.6,2.1,NA
RF.b_5232,Artec.Spider,A2,Maiolica,Blank,Blade,Semi-cortical,33-66%,Complete,1865.140747,1621.551002,58.1,15.8,5.8,NA
RF.b_5234,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,33-66%,Complete,6038.416992,2876.657733,61.4,20.9,11,NA
RF.b_5238,Artec.Spider,A2,Maiolica,Blank,Blade,Initialization,1-33%,Complete,2302.323242,1517.081881,48.1,15.9,9.5,NA
RF.b_5240,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,1280.2854,1152.745159,41.8,16.4,4.2,NA
RF.b_5244,Artec.Spider,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,1735.137451,1909.190404,65.2,15.8,4,NA
RF.b_5245,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Maintenance,0%,Complete,658.6965332,848.9994388,36,12.5,2.5,NA
RF.b_5247,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Maintenance,0%,Complete,1046.862183,1089.470402,39.8,13.7,4.2,NA
